# SiO2 on Si, film thickness is about 300 nm. 
# phi, P1, P1_std, A1, A1_std, P2, P2_std, A2, A2_std
45.0,55.8,0.1,35.8,0.1,145.3,0.1,145.5,0.1
50.0,57.5,0.1,32.8,0.1,147.0,0.1,148.4,0.1
55.0,59.0,0.1,29.2,0.1,148.4,0.1,151.6,0.1
60.0,60.5,0.1,25.0,0.1,149.9,0.1,155.8,0.1
65.0,62.4,0.1,19.8,0.1,151.8,0.1,160.9,0.1
70.0,66.5,0.1,13.2,0.1,155.6,0.1,162.2,0.1
75.0,86.0,0.1,6.3,0.1,175.2,0.1,173.9,0.1
80.0,125.7,0.1,11.1,0.1,215.3,0.1,168.5,0.1
