# SiO2 on Si. Film thickness is 300 nm
# phi, P1, P1_std, A1, A1_std, P2, P2_std, A2, A2_std
45.0,55.3,0.1,45.6,0.1,144.8,0.1,145.8,0.1
50.0,56.9,0.1,32.8,0.1,146.3,0.1,148.5,0.1
55.0,58.1,0.1,29.1,0.1,147.6,0.1,151.8,0.1
60.0,59.4,0.1,24.8,0.1,148.8,0.1,156.2,0.1
65.0,60.5,0.1,19.4,0.1,149.9,0.1,161.6,0.1
70.0,63.1,0.1,12.4,0.1,152.7,0.1,168.4,0.1
75.0,83.5,0.1,4.5,0.1,172.4,0.1,175.8,0.1
80.0,131.0,0.1,11.0,0.1,220.7,0.1,169.0,0.1
