# SiO2 on Si. Film thickness is about 300 nm
# phi, P1, P1_std, A1, A1_std, P2, P2_std, A2, A2_std
45.0,56.8,0.1,36.0,0.1,146.3,0.1,145.0,0.1
50.0,59.0,0.1,33.0,0.1,148.4,0.1,148.0,0.1
55.0,60.9,0.1,29.7,0.1,150.3,0.1,151.3,0.1
60.0,63.3,0.1,25.6,0.1,152.6,0.1,155.2,0.1
65.0,66.2,0.1,20.5,0.1,155.4,0.1,160.1,0.1
70.0,72.0,0.1,14.6,0.1,161.0,0.1,166.0,0.1
75.0,90.5,0.1,9.1,0.1,179.3,0.1,171.1,0.1
80.0,121.0,0.1,13.0,0.1,210.2,0.1,166.9,0.1
